PATH;NUM_PRODUCTS;TIME;R;AND_OPTIMIZATION;AND_THRESHOLD;REORDER_VARIABLES;N_EDGES;N_NODES
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;128.438;1;1;0;1;1.41304e+06;811229
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;117.401;1;1;0;0;5.00987e+06;3.1651e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;127.175;1;1;1;1;1.39268e+06;801043
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;113.285;1;1;1;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;125.486;1;1;2;1;1.39268e+06;801043
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;112.286;1;1;2;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;123.507;1;1;5;1;1.3876e+06;795797
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;110.998;1;1;5;0;5.05315e+06;3.16356e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;584.928;1;1;10;1;1.41516e+06;558168
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;100.664;1;1;10;0;7.27247e+06;3.80881e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;610.258;1;1;20;1;1.41516e+06;558168
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;101.152;1;1;20;0;7.27247e+06;3.80881e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;589.834;1;1;50;1;1.41516e+06;558168
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;101.462;1;1;50;0;7.27247e+06;3.80881e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;262.149;2;1;0;1;587386;345004
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;92.0941;2;1;0;0;5.00987e+06;3.1651e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;258.697;2;1;1;1;587381;345000
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;91.2655;2;1;1;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;257.123;2;1;2;1;587381;345000
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;91.063;2;1;2;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;254.811;2;1;5;1;586763;344286
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;91.2287;2;1;5;0;5.05315e+06;3.16356e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;310.725;2;1;10;1;929454;366088
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;87.24;2;1;10;0;7.27247e+06;3.80881e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;307.412;2;1;20;1;929454;366088
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;84.5819;2;1;20;0;7.27247e+06;3.80881e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;309.99;2;1;50;1;929454;366088
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;84.482;2;1;50;0;7.27247e+06;3.80881e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;119.974;5;1;0;1;601379;364966
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;65.8635;5;1;0;0;5.00987e+06;3.1651e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;120.582;5;1;1;1;601608;365176
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;64.8322;5;1;1;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;116.967;5;1;2;1;601608;365176
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;67.0284;5;1;2;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;115.563;5;1;5;1;602245;365186
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;68.4648;5;1;5;0;5.05315e+06;3.16356e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;144.456;5;1;10;1;1.29389e+06;503076
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;56.4149;5;1;10;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;144.483;5;1;20;1;1.29389e+06;503076
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;57.1598;5;1;20;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;144.699;5;1;50;1;1.29389e+06;503076
