PATH;NUM_PRODUCTS;TIME;R;AND_OPTIMIZATION;AND_THRESHOLD;REORDER_VARIABLES;N_EDGES;N_NODES
linuxModel.xml;timeout;timeout;20;1;5;1;timeout;timeout
axTLSModel.xml;826244333568;0.013529;20;1;5;1;293;177
berkeleyDBModel.xml;4025968128;0.013357;20;1;5;1;489;324
uClibCModel.xml;16601881363009992107753731518030151680000;6.12593;20;1;5;1;55821;24759
uClinuxBase.xml;26161747473967066644480;0.386544;20;1;5;1;338;110
BusyBox.xml;2061138519356781760670618805653750167349287991336595876373542198990734653489713239449032049664199494301454199336000050382457451123894821886472278234849758979132037884598159833615564800000000000000000000;205.603;20;1;5;1;165417;98210
FinancialServices01.xml;97451212554676;3.09187;20;1;5;1;68920;43632
Embtoolkit.xml;5134555717728405373874099868199035516442186387628134162059302739740605826105226151439263334400000;2.1768;20;1;5;1;178837;91066
uClinuxDistribution.xml;40747790318250846827273162353634382162762931862218548538747884597953981277705491677606400389986806046349256332541627739347388865237509997478731163884602988000551697877794701308129441181604723748879285505791023281239593092649523605278890415191613758186983938685670900973055480310050767489720331135327041318680572475136184624556150552422219724716759536689204585924630636459924198833420125970563260743680000000000;157.182;20;1;5;1;73089;45455
automotive02v4Model.xml;17750953590220451408657339965870132356565091618378662304668582244435650593637689155585658474492943662777772350194523016786070405756333653222266965279315402806278498119060217561487039327777020870006850238563870765418636350788121838824817440583533589190072776415945296700298759237672548302467807852726002836985371700484988993204249442085421177328148477174934696779784652338239492608562816321402817563032774817949248332379161537050754830629200787421216126402517983584690124045399164583502075041976662615189964856034961634118147262668565695738187656274269657445785375336216811456798909276826030954151392834941772701127262519311917000800301081736791492159990028838165859713438775433515842113129121529794992327804853483452623360539965281391793534445956999318750732792414977783244492564307352838196398447159956481142114797849331139628341427669234185925582325640468113514028220532179964441089601134097109264432467803106626955795506383116089419264616763624010935040635499090769521671199145522589394891621469257729653736098610301170460198702374265353841897720750816255832334470097196611208657385191906162806928637314894131112248402098423767169395270994743423132543644472150453920816329315385258584406535542359742618545847816352760019337699865644710796216080920340486104435350820199723246343399677486523161369709265538608777639310238984266627823357949326945112210374806198006062541753964827320289916342818664035726158225373823878194790400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;46824.053;20;1;5;1;1192667;1924659
